date,cash,stock_market_value,stock_position,future_margin,future_position,net_value,PnL,
20161216,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20161219,10000000.000000,0.000000,0,0.000000,0,10000000.000000,0.000000,
20161220,9373880.429756,627290.840000,188777,0.000000,0,10001171.269756,1171.269756,
20161221,9373880.429756,632545.660000,188777,0.000000,0,10006426.089756,5254.820000,
20161222,9373880.429756,628516.310000,188777,0.000000,0,10002396.739756,-4029.350000,
20161223,9373880.429756,619894.440000,188777,0.000000,0,9993774.869756,-8621.870000,
20161226,9373880.429756,614385.810000,188777,0.000000,0,9988266.239756,-5508.630000,
20161227,9373880.429756,614385.810000,188777,0.000000,0,9988266.239756,0.000000,
20161228,9373880.429756,613977.320000,188777,0.000000,0,9987857.749756,-408.490000,
20161229,9186199.250628,805760.660000,206772,0.000000,0,9991959.910628,4102.160872,
20161230,8811021.581260,1181899.840000,244684,0.000000,0,9992921.421260,961.510632,
20170103,8811021.581260,1187763.410000,244684,0.000000,0,9998784.991260,5863.570000,
20170104,8059660.060560,1938125.560000,285239,0.000000,0,9997785.620560,-999.370700,
20170105,7934297.252952,2065447.880000,299996,0.000000,0,9999745.132952,1959.512392,
20170106,7934297.252952,2048603.140000,299996,0.000000,0,9982900.392952,-16844.740000,
20170109,8371496.697398,1601190.640000,119061,0.000000,0,9972687.337398,-10213.055554,
20170110,8371316.644220,1599323.090000,122276,0.000000,0,9970639.734220,-2047.603178,
20170111,8371316.644220,1584704.960000,122276,0.000000,0,9956021.604220,-14618.130000,
20170112,8490090.565640,1456851.300000,112277,0.000000,0,9946941.865640,-9079.738580,
20170113,8490090.565640,1438566.880000,112277,0.000000,0,9928657.445640,-18284.420000,
20170116,8725655.913406,1160309.190000,95286,0.000000,0,9885965.103406,-42692.342234,
20170117,8353648.413044,1549239.370000,124817,0.000000,0,9902887.783044,16922.679638,
20170118,8043878.739482,1851493.830000,137382,0.000000,0,9895372.569482,-7515.213562,
20170119,8386298.931694,1495475.820000,97343,0.000000,0,9881774.751694,-13597.817788,
20170120,7765833.610812,2143294.820000,144843,0.000000,0,9909128.430812,27353.679118,
20170123,8181888.088672,1738042.580000,112822,0.000000,0,9919930.668672,10802.237860,
20170124,7809350.666164,2103715.770000,143488,0.000000,0,9913066.436164,-6864.232508,
20170125,7064005.715832,2856422.790000,185315,0.000000,0,9920428.505832,7362.069668,
20170126,6507243.856988,3425813.310000,239944,0.000000,0,9933057.166988,12628.661156,
20170203,6493195.616770,3433179.500000,223394,0.000000,0,9926375.116770,-6682.050218,
20170206,6369958.303200,3581403.910000,237531,0.000000,0,9951362.213200,24987.096430,
20170207,5938221.590892,4018990.110000,322696,0.000000,0,9957211.700892,5849.487692,
20170208,6332104.467010,3655371.120000,297611,0.000000,0,9987475.587010,30263.886118,
20170209,6450680.625046,3557934.320000,292209,0.000000,0,10008614.945046,21139.358036,
