date,cash,stock_market_value,stock_position,future_margin,future_position,net_value,PnL,
20160330,6623374.890118,4012726.730000,447428,0.000000,0,10636101.620118,123367.266086,
20160331,7192062.109428,3471889.910000,416649,0.000000,0,10663952.019428,27850.399310,
20160401,8754051.947746,1877318.760000,235235,0.000000,0,10631370.707746,-32581.311682,
20160405,9022165.752642,1679801.350000,178807,0.000000,0,10701967.102642,70596.394896,
20160406,9347473.223298,1375867.030000,153583,0.000000,0,10723340.253298,21373.150656,
20160407,9619623.130110,1076477.340000,131665,0.000000,0,10696100.470110,-27239.783188,
20160408,9895304.249278,761859.910000,96617,0.000000,0,10657164.159278,-38936.310832,
20160411,9895304.249278,778259.630000,96617,0.000000,0,10673563.879278,16399.720000,
20160412,10013060.605618,653800.070000,62522,0.000000,0,10666860.675618,-6703.203660,
20160413,10013060.605618,666166.380000,62522,0.000000,0,10679226.985618,12366.310000,
20160414,10273578.298172,406690.630000,41814,0.000000,0,10680268.928172,1041.942554,
20160415,10416728.822584,273218.940000,38092,0.000000,0,10689947.762584,9678.834412,
20160418,10560732.099274,124158.720000,32333,0.000000,0,10684890.819274,-5056.943310,
20160419,10560732.099274,124158.720000,32333,0.000000,0,10684890.819274,0.000000,
20160420,10544174.871352,132881.280000,29661,0.000000,0,10677056.151352,-7834.667922,
20160421,10544174.871352,131101.620000,29661,0.000000,0,10675276.491352,-1779.660000,
20160422,10544174.871352,131694.840000,29661,0.000000,0,10675869.711352,593.220000,
20160425,10544174.871352,130805.010000,29661,0.000000,0,10674979.881352,-889.830000,
20160426,10009421.925536,667381.750000,189479,0.000000,0,10676803.675536,1823.794184,
20160427,10009421.925536,670874.720000,189479,0.000000,0,10680296.645536,3492.970000,
20160428,10009421.925536,670874.720000,189479,0.000000,0,10680296.645536,0.000000,
20160429,10009421.925536,670874.720000,189479,0.000000,0,10680296.645536,0.000000,
20160503,10009421.925536,673544.210000,189479,0.000000,0,10682966.135536,2669.490000,
20160504,10009421.925536,673840.820000,189479,0.000000,0,10683262.745536,296.610000,
20160505,10009421.925536,674137.430000,189479,0.000000,0,10683559.355536,296.610000,
20160506,10009421.925536,669095.060000,189479,0.000000,0,10678516.985536,-5042.370000,
20160509,10009421.925536,666425.570000,189479,0.000000,0,10675847.495536,-2669.490000,
20160510,10136142.497192,538586.660000,159818,0.000000,0,10674729.157192,-1118.338344,
20160511,10136142.497192,538586.660000,159818,0.000000,0,10674729.157192,0.000000,
20160512,10136142.497192,538586.660000,159818,0.000000,0,10674729.157192,0.000000,
20160513,10136142.497192,538586.660000,159818,0.000000,0,10674729.157192,0.000000,
20160516,9601448.857936,1074819.500000,284814,0.000000,0,10676268.357936,1539.200744,
20160517,9601448.857936,1079819.340000,284814,0.000000,0,10681268.197936,4999.840000,
20160518,9601448.857936,1063569.860000,284814,0.000000,0,10665018.717936,-16249.480000,
20160519,9334384.505836,1328787.220000,296532,0.000000,0,10663171.725836,-1846.992100,
20160520,8800134.523728,1868299.580000,323118,0.000000,0,10668434.103728,5262.377892,
20160523,8952163.444580,1737119.290000,332628,0.000000,0,10689282.734580,20848.630852,
20160524,8417246.454014,2261299.840000,405281,0.000000,0,10678546.294014,-10736.440566,
20160525,8149648.793684,2528754.000000,424160,0.000000,0,10678402.793684,-143.500330,
20160526,8333461.359796,2403387.180000,272327,0.000000,0,10736848.539796,58445.746112,
20160527,8333461.359796,2384120.830000,272327,0.000000,0,10717582.189796,-19266.350000,
20160530,7663431.392852,3035011.840000,325686,0.000000,0,10698443.232852,-19138.956944,
20160531,7255869.128906,3589088.420000,352991,0.000000,0,10844957.548906,146514.316054,
20160601,7128516.108774,3725859.480000,405582,0.000000,0,10854375.588774,9418.039868,
20160602,7387633.157064,3495107.230000,338008,0.000000,0,10882740.387064,28364.798290,
20160603,7535543.508338,3367628.280000,333509,0.000000,0,10903171.788338,20431.401274,
20160606,7683866.425654,3220532.680000,325780,0.000000,0,10904399.105654,1227.317316,
20160607,7410868.432190,3490824.040000,345718,0.000000,0,10901692.472190,-2706.633464,
20160608,7847256.365360,3049602.350000,316128,0.000000,0,10896858.715360,-4833.756830,
20160613,8154693.081380,2641746.910000,303491,0.000000,0,10796439.991380,-100418.723980,
20160614,8282550.451706,2523006.930000,259057,0.000000,0,10805557.381706,9117.390326,
20160615,8568497.249332,2303064.990000,240178,0.000000,0,10871562.239332,66004.857626,
20160616,8688540.661114,2157495.170000,260261,0.000000,0,10846035.831114,-25526.408218,
20160617,8145109.262150,2709348.790000,278626,0.000000,0,10854458.052150,8422.221036,
20160620,8612808.071312,2267044.810000,243342,0.000000,0,10879852.881312,25394.829162,
20160621,9001424.310694,1856523.660000,216037,0.000000,0,10857947.970694,-21904.910618,
20160622,9144935.153078,1741763.400000,161937,0.000000,0,10886698.553078,28750.582384,
20160623,8720412.437794,2156428.000000,206371,0.000000,0,10876840.437794,-9858.115284,
20160624,7294734.588562,3544664.370000,340476,0.000000,0,10839398.958562,-37441.479232,
20160627,7559511.610498,3367998.230000,338633,0.000000,0,10927509.840498,88110.881936,
20160628,7427888.151904,3538909.620000,351375,0.000000,0,10966797.771904,39287.931406,
20160629,7429449.003524,3547860.610000,390719,0.000000,0,10977309.613524,10511.841620,
20160630,7296413.402156,3667839.200000,428212,0.000000,0,10964252.602156,-13057.011368,
20160701,7156403.743818,3788383.240000,443811,0.000000,0,10944786.983818,-19465.618338,
